word,childes,childes_rank,childes_freq_z,childes_rank_z
phyllis,14,9451,-0.047044820750258835,-1.0967363475506946
piggy's,14,9452,-0.047044820750258835,-1.0966691167314662
pinches,14,9453,-0.047044820750258835,-1.0966018859122375
pinnochio,14,9454,-0.047044820750258835,-1.096534655093009
pinochio,14,9455,-0.047044820750258835,-1.0964674242737806
police+woman,14,9456,-0.047044820750258835,-1.096400193454552
porcupines,14,9457,-0.047044820750258835,-1.0963329626353235
pours,14,9458,-0.047044820750258835,-1.0962657318160949
pray,14,9459,-0.047044820750258835,-1.0961985009968664
prior,14,9460,-0.047044820750258835,-1.096131270177638
punished,14,9461,-0.047044820750258835,-1.0960640393584093
rabies,14,9462,-0.047044820750258835,-1.095996808539181
race+car,14,9463,-0.047044820750258835,-1.0959295777199525
razzle,14,9464,-0.047044820750258835,-1.0958623469007238
reverse,14,9465,-0.047044820750258835,-1.0957951160814954
rinsed,14,9466,-0.047044820750258835,-1.095727885262267
rivers,14,9467,-0.047044820750258835,-1.0956606544430383
roach,14,9468,-0.047044820750258835,-1.0955934236238098
roy's,14,9469,-0.047044820750258835,-1.0955261928045812
saber,14,9470,-0.047044820750258835,-1.0954589619853528
sail+boat,14,9471,-0.047044820750258835,-1.0953917311661243
san_francisco,14,9472,-0.047044820750258835,-1.0953245003468957
sash,14,9473,-0.047044820750258835,-1.0952572695276672
sc,14,9474,-0.047044820750258835,-1.0951900387084388
schmidt,14,9475,-0.047044820750258835,-1.0951228078892101
scribbling,14,9476,-0.047044820750258835,-1.0950555770699817
script,14,9477,-0.047044820750258835,-1.0949883462507533
seaanemone,14,9478,-0.047044820750258835,-1.0949211154315246
segment,14,9479,-0.047044820750258835,-1.0948538846122962
shaft,14,9480,-0.047044820750258835,-1.0947866537930675
shara,14,9481,-0.047044820750258835,-1.094719422973839
sharpened,14,9482,-0.047044820750258835,-1.0946521921546106
shayla,14,9483,-0.047044820750258835,-1.094584961335382
shoe's,14,9484,-0.047044820750258835,-1.0945177305161535
sixes,14,9485,-0.047044820750258835,-1.094450499696925
slippy,14,9486,-0.047044820750258835,-1.0943832688776964
smacking,14,9487,-0.047044820750258835,-1.094316038058468
snake's,14,9488,-0.047044820750258835,-1.0942488072392396
social,14,9489,-0.047044820750258835,-1.094181576420011
spreading,14,9490,-0.047044820750258835,-1.0941143456007825
sshh,14,9491,-0.047044820750258835,-1.094047114781554
stains,14,9492,-0.047044820750258835,-1.0939798839623254
steel,14,9493,-0.047044820750258835,-1.093912653143097
steve's,14,9494,-0.047044820750258835,-1.0938454223238683
store+man,14,9495,-0.047044820750258835,-1.0937781915046398
straightened,14,9496,-0.047044820750258835,-1.0937109606854114
stretchy,14,9497,-0.047044820750258835,-1.0936437298661827
sunburn,14,9498,-0.047044820750258835,-1.0935764990469543
supper's,14,9499,-0.047044820750258835,-1.0935092682277259
tack,14,9500,-0.047044820750258835,-1.0934420374084972
tad,14,9501,-0.047044820750258835,-1.0933748065892688
tarts,14,9502,-0.047044820750258835,-1.0933075757700403
teenage,14,9503,-0.047044820750258835,-1.0932403449508117
term,14,9504,-0.047044820750258835,-1.0931731141315832
thorns,14,9505,-0.047044820750258835,-1.0931058833123546
thoughted,14,9506,-0.047044820750258835,-1.0930386524931262
tii,14,9507,-0.047044820750258835,-1.0929714216738977
tiring,14,9508,-0.047044820750258835,-1.092904190854669
tonka,14,9509,-0.047044820750258835,-1.0928369600354406
toothache,14,9510,-0.047044820750258835,-1.0927697292162122
traded,14,9511,-0.047044820750258835,-1.0927024983969835
transcribing,14,9512,-0.047044820750258835,-1.092635267577755
triples,14,9513,-0.047044820750258835,-1.0925680367585267
troy,14,9514,-0.047044820750258835,-1.092500805939298
tugging,14,9515,-0.047044820750258835,-1.0924335751200696
tum,14,9516,-0.047044820750258835,-1.0923663443008411
turbo,14,9517,-0.047044820750258835,-1.0922991134816125
twisty,14,9518,-0.047044820750258835,-1.092231882662384
tyke_bike,14,9519,-0.047044820750258835,-1.0921646518431554
uht,14,9520,-0.047044820750258835,-1.092097421023927
unbuttoned,14,9521,-0.047044820750258835,-1.0920301902046985
understands,14,9522,-0.047044820750258835,-1.0919629593854698
uno,14,9523,-0.047044820750258835,-1.0918957285662414
varen,14,9524,-0.047044820750258835,-1.091828497747013
vehicle,14,9525,-0.047044820750258835,-1.0917612669277843
veterinarian,14,9526,-0.047044820750258835,-1.0916940361085559
visitor,14,9527,-0.047044820750258835,-1.0916268052893274
vrap,14,9528,-0.047044820750258835,-1.0915595744700988
wandered,14,9529,-0.047044820750258835,-1.0914923436508703
wawawa,14,9530,-0.047044820750258835,-1.0914251128316417
weeee,14,9531,-0.047044820750258835,-1.0913578820124132
whiny,14,9532,-0.047044820750258835,-1.0912906511931848
whipping,14,9533,-0.047044820750258835,-1.0912234203739561
willo,14,9534,-0.047044820750258835,-1.0911561895547277
window's,14,9535,-0.047044820750258835,-1.0910889587354993
wolf's,14,9536,-0.047044820750258835,-1.0910217279162706
yodels,14,9537,-0.047044820750258835,-1.0909544970970422
yous,14,9538,-0.047044820750258835,-1.0908872662778137
za,14,9539,-0.047044820750258835,-1.090820035458585
zipped,14,9540,-0.047044820750258835,-1.0907528046393566
zooming,14,9541,-0.047044820750258835,-1.090685573820128
abuh,13,9542,-0.04735842050915251,-1.0906183430008995
acrobat,13,9543,-0.04735842050915251,-1.0905511121816711
activities,13,9544,-0.04735842050915251,-1.0904838813624425
actor,13,9545,-0.04735842050915251,-1.090416650543214
adrian,13,9546,-0.04735842050915251,-1.0903494197239856
ads,13,9547,-0.04735842050915251,-1.090282188904757
aguguh,13,9548,-0.04735842050915251,-1.0902149580855285
ahold,13,9549,-0.04735842050915251,-1.0901477272663
aiming,13,9550,-0.04735842050915251,-1.0900804964470714
alec's,13,9551,-0.04735842050915251,-1.090013265627843
alexis,13,9552,-0.04735842050915251,-1.0899460348086145
alice's,13,9553,-0.04735842050915251,-1.0898788039893859
allosaurus,13,9554,-0.04735842050915251,-1.0898115731701574
ankles,13,9555,-0.04735842050915251,-1.0897443423509288
apartments,13,9556,-0.04735842050915251,-1.0896771115317003
ayeyai,13,9557,-0.04735842050915251,-1.089609880712472
balanced,13,9558,-0.04735842050915251,-1.0895426498932432
bambam,13,9559,-0.04735842050915251,-1.0894754190740148
banthas,13,9560,-0.04735842050915251,-1.0894081882547864
barns,13,9561,-0.04735842050915251,-1.0893409574355577
becoming,13,9562,-0.04735842050915251,-1.0892737266163293
bed's,13,9563,-0.04735842050915251,-1.0892064957971008
bertie,13,9564,-0.04735842050915251,-1.0891392649778722
bess,13,9565,-0.04735842050915251,-1.0890720341586437
beull,13,9566,-0.04735842050915251,-1.089004803339415
bird+seed,13,9567,-0.04735842050915251,-1.0889375725201866
biz,13,9568,-0.04735842050915251,-1.0888703417009582
bizarre,13,9569,-0.04735842050915251,-1.0888031108817295
blue+bird,13,9570,-0.04735842050915251,-1.088735880062501
bobby+pin,13,9571,-0.04735842050915251,-1.0886686492432727
boogies,13,9572,-0.04735842050915251,-1.088601418424044
boon,13,9573,-0.04735842050915251,-1.0885341876048156
booster+chair,13,9574,-0.04735842050915251,-1.0884669567855871
bot,13,9575,-0.04735842050915251,-1.0883997259663585
boys',13,9576,-0.04735842050915251,-1.08833249514713
bree,13,9577,-0.04735842050915251,-1.0882652643279016
bridget,13,9578,-0.04735842050915251,-1.088198033508673
bridle,13,9579,-0.04735842050915251,-1.0881308026894445
